Corrected Customer Question,Corrected Frappe Query,Query Length,Category,Conversational Question
"Retrieve the first 20 Employee records where transaction_date is Supervisor, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""transaction_date"": ""Supervisor""}, fields=[""designation"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",173,Complex,"Can you fetch the first 20 Employee records where transaction_date is Supervisor, sorted by priority in descending order, starting from the 10th record."
"Retrieve a list of all Expense Claim records where subject is Approved, fetching status and creation, sorted by creation in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Approved""}, fields=[""status"", ""creation""], order_by=""creation desc"")",122,Complex,"Can you fetch a list of all Expense Claim records where subject is Approved, fetching status and creation, sorted by creation in descending order."
"Retrieve a list of all Issue records where subject is Open, fetching creation and status, sorted by status in descending order.","frappe.get_list(""Issue"", filters={""subject"": ""Open""}, fields=[""creation"", ""status""], order_by=""status desc"")",108,Medium,"Can you fetch a list of all Issue records where subject is Open, fetching creation and status, sorted by status in descending order."
"Retrieve the first 20 Task records where subject is Lead, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""subject"": ""Lead""}, fields=[""status"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",165,Complex,"Can you fetch the first 20 Task records where subject is Lead, sorted by transaction_date in descending order, starting from the 10th record."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Employee records where subject is Supervisor, sorted by designation in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""subject"": ""Supervisor""}, fields=[""status"", ""designation""], order_by=""designation desc"", start=10, page_length=20, as_list=True)",165,Complex,"Can you fetch the first 20 Employee records where subject is Supervisor, sorted by designation in descending order, starting from the 10th record."
Find all Employee records where priority contains Manager.,"frappe.get_list(""Employee"", filters={""priority"": [""like"", ""%Manager%""]})",72,Medium,Find all Employee records where priority contains Manager.
Find all Task records placed between 2023-01-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Task"", filters={[""subject"", ""between"", [""2023-01-01"", ""2024-06-30""})",85,Medium,Find all Task records placed between 2023-01-01 and 2024-06-30 (both inclusive).
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Find all Sales Order records where count contains Director.,"frappe.get_list(""Sales Order"", filters={""count"": [""like"", ""%Director%""]})",73,Medium,Find all Sales Order records where count contains Director.
"Retrieve a list of all Leave Application records where creation is Pending, fetching creation and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Leave Application"", filters={""creation"": ""Pending""}, fields=[""creation"", ""date_submitted""], order_by=""date_submitted desc"")",140,Complex,"Can you fetch a list of all Leave Application records where creation is Pending, fetching creation and date_submitted, sorted by date_submitted in descending order."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve the first 20 Employee records where transaction_date is Director, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""transaction_date"": ""Director""}, fields=[""priority"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",166,Complex,"Can you fetch the first 20 Employee records where transaction_date is Director, sorted by subject in descending order, starting from the 10th record."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Find all Employee records placed between 2023-01-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""status"", ""between"", [""2023-01-01"", ""2024-12-31""})",88,Medium,Find all Employee records placed between 2023-01-01 and 2024-12-31 (both inclusive).
"Retrieve the first 20 Stock Entry records where status is Supervisor, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""status"": ""Supervisor""}, fields=[""subject"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",178,Complex,"Can you fetch the first 20 Stock Entry records where status is Supervisor, sorted by transaction_date in descending order, starting from the 10th record."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Find all Task records placed between 2023-01-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Task"", filters={[""count"", ""between"", [""2023-01-01"", ""2024-12-31""})",83,Medium,Find all Task records placed between 2023-01-01 and 2024-12-31 (both inclusive).
"Retrieve the first 20 Purchase Order records where subject is Manager, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""subject"": ""Manager""}, fields=[""status"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",156,Complex,"Can you fetch the first 20 Purchase Order records where subject is Manager, sorted by count in descending order, starting from the 10th record."
